Покупательская активность,Тип сервиса,Разрешить сообщать,Маркет_актив_6_мес,Длительность,Акционные_покупки,Популярная_категория,Средний_просмотр_категорий_за_визит,Выручка_от_клиента_текущий_месяц,Разность_выручки_тек_прошлый_месяц,Ошибка_сервиса,Страниц_за_визит,Всего_минут_текущем_месяце,Всего_минут_предыдущий_месяц
Снизилась,премиум,нет,5,931,0.32,Косметика и аксесуары,4,4607,-538,3,4,5,7
Снизилась,стандарт,нет,4,574,0.99,Техника для красоты и здоровья,1,4182,-663,2,2,12,10
Снизилась,стандарт,да,4,511,0.93,Домашний текстиль,3,4484,-44,3,7,7,7
Снизилась,премиум,да,3,413,0.33,Техника для красоты и здоровья,3,4549,-197,2,5,12,8
Снизилась,стандарт,да,4,753,0.3,Кухонная посуда,4,4556,-915,2,1,11,10
Снизилась,стандарт,нет,4,480,0.28,Косметика и аксесуары,1,4341,-138,4,4,7,7
Снизилась,стандарт,да,5,759,0.93,Косметика и аксесуары,2,4909,-239,3,7,11,12
Снизилась,премиум,нет,3,779,0.3,Мелкая бытовая техника и электроника,2,4952,-312,2,4,7,8
Снизилась,стандарт,да,2,476,0.27,Косметика и аксесуары,1,4972,-217,6,5,9,9
Снизилась,стандарт,да,3,706,0.22,Домашний текстиль,2,4805,-714,8,4,6,12
Снизилась,стандарт,да,4,689,0.31,Домашний текстиль,4,4430,-74,2,3,8,6
Снизилась,премиум,да,4,882,0.22,Мелкая бытовая техника и электроника,3,4557,-649,6,3,6,5
Снизилась,премиум,да,4,1007,0.3,Товары для детей,4,4529,-448,3,6,10,13
Снизилась,стандарт,нет,4,304,0.94,Мелкая бытовая техника и электроника,1,4439,-828,3,2,9,11
Снизилась,премиум,да,3,1008,0.3,Косметика и аксесуары,3,4833,-477,3,4,8,10
Снизилась,премиум,да,3,917,0.93,Мелкая бытовая техника и электроника,2,4702,-144,4,6,5,5
Снизилась,премиум,да,2,602,0.39,Мелкая бытовая техника и электроника,4,4957,-578,2,5,8,7
Снизилась,премиум,да,2,680,0.94,Техника для красоты и здоровья,1,4449,-441,2,3,13,12
Снизилась,стандарт,да,3,356,0.34,Домашний текстиль,3,4881,-897,5,4,9,12
Снизилась,премиум,да,2,989,0.3,Кухонная посуда,3,4763,-635,4,6,6,6
Снизилась,премиум,нет,2,908,0.35,Мелкая бытовая техника и электроника,4,4884,-412,4,6,13,9
Снизилась,стандарт,да,2,790,0.98,Кухонная посуда,3,4434,-574,1,2,12,10
Снизилась,стандарт,нет,1,456,0.95,Косметика и аксесуары,1,4465,-503,5,5,12,6
Снизилась,стандарт,да,3,200,0.89,Мелкая бытовая техника и электроника,1,4248,-394,3,1,4,6
Снизилась,стандарт,да,2,319,0.33,Косметика и аксесуары,2,4609,-524,7,4,10,9
Снизилась,стандарт,да,3,444,0.9,Кухонная посуда,2,4607,-595,3,4,9,10
Снизилась,стандарт,да,4,635,0.23,Техника для красоты и здоровья,2,4301,-239,5,5,12,9
Снизилась,премиум,да,4,733,0.32,Товары для детей,2,4747,-660,4,4,9,13
Снизилась,стандарт,нет,2,516,0.32,Домашний текстиль,2,4875,-848,3,3,9,13
Снизилась,стандарт,нет,4,214,0.24,Мелкая бытовая техника и электроника,1,4148,-209,7,8,8,5
Снизилась,премиум,да,4,374,0.24,Товары для детей,2,4991,-718,2,3,9,9
Снизилась,премиум,да,2,754,0.94,Косметика и аксесуары,2,4661,-855,4,3,11,8
Снизилась,премиум,да,3,811,0.93,Мелкая бытовая техника и электроника,1,4756,-707,8,6,11,10
Снизилась,премиум,да,4,1019,0.35,Мелкая бытовая техника и электроника,3,4568,-464,2,2,9,11
Снизилась,стандарт,нет,4,335,0.94,Косметика и аксесуары,2,4571,-373,7,5,13,11
Снизилась,стандарт,нет,4,152,0.25,Домашний текстиль,1,4455,-360,1,6,12,6
Снизилась,стандарт,да,4,521,0.29,Кухонная посуда,2,4316,-847,4,1,10,10
Снизилась,стандарт,нет,4,231,0.36,Кухонная посуда,1,4383,-959,2,2,14,10
Снизилась,премиум,нет,4,480,0.28,Косметика и аксесуары,3,4623,-386,1,4,11,10
Снизилась,премиум,да,3,1043,0.22,Косметика и аксесуары,3,4648,-504,4,5,7,10
Снизилась,премиум,да,2,714,0.4,Домашний текстиль,2,4795,-503,7,6,14,9
Снизилась,стандарт,да,4,779,0.9,Домашний текстиль,3,4537,54,2,6,9,10
Снизилась,стандарт,да,1,669,0.24,Техника для красоты и здоровья,2,4488,-551,7,4,10,11
Снизилась,премиум,да,3,512,0.29,Косметика и аксесуары,1,4712,-385,5,3,6,12
Снизилась,премиум,да,4,650,0.21,Кухонная посуда,2,4692,-509,6,7,14,12
Снизилась,стандарт,да,4,207,0.24,Кухонная посуда,2,4648,-277,2,1,12,12
Снизилась,премиум,да,4,756,0.89,Кухонная посуда,2,4098,-334,3,2,11,8
Снизилась,стандарт,да,4,601,0.21,Косметика и аксесуары,3,4604,-206,7,6,7,7
Снизилась,премиум,да,5,1009,0.35,Мелкая бытовая техника и электроника,4,5008,-1241,5,9,11,7
Снизилась,стандарт,да,5,732,0.93,Домашний текстиль,2,4752,-412,4,2,10,10
Снизилась,премиум,да,2,874,0.32,Домашний текстиль,2,4875,-75,3,3,6,10
Снизилась,премиум,нет,4,1041,0.3,Кухонная посуда,3,4235,-32,2,7,12,10
Снизилась,стандарт,нет,3,511,0.28,Косметика и аксесуары,2,4551,-622,2,7,9,9
Снизилась,премиум,да,4,577,0.4,Домашний текстиль,2,4740,-487,8,3,7,7
Снизилась,стандарт,да,4,675,0.29,Кухонная посуда,1,4443,92,1,5,12,7
Снизилась,премиум,да,2,339,0.89,Косметика и аксесуары,2,4917,168,2,3,5,8
Снизилась,премиум,да,3,954,0.24,Мелкая бытовая техника и электроника,3,4691,-1067,3,2,8,5
Снизилась,премиум,да,3,771,0.29,Техника для красоты и здоровья,1,4162,-63,2,2,9,5
Снизилась,стандарт,да,4,699,0.99,Домашний текстиль,4,4528,-439,6,5,10,9
Снизилась,стандарт,да,4,669,0.32,Кухонная посуда,4,4435,-287,4,3,14,11
Снизилась,стандарт,да,2,511,0.94,Товары для детей,3,4677,-911,3,3,9,6
Снизилась,премиум,да,5,974,0.94,Домашний текстиль,4,4670,-454,3,7,10,9
Снизилась,премиум,да,2,666,0.39,Кухонная посуда,3,4301,-500,2,3,13,10
Снизилась,премиум,да,6,857,0.36,Кухонная посуда,3,4849,-908,6,5,8,12
Снизилась,стандарт,да,4,1048,0.22,Товары для детей,4,4658,-410,4,5,14,11
Снизилась,стандарт,да,4,756,0.9,Товары для детей,2,4963,-612,6,4,10,11
Снизилась,премиум,да,2,506,0.22,Товары для детей,1,4290,-639,4,3,12,9
Снизилась,премиум,да,5,759,0.36,Косметика и аксесуары,1,4600,-702,8,5,9,9
Снизилась,премиум,да,4,937,0.22,Косметика и аксесуары,2,4564,-483,3,4,10,12
Снизилась,стандарт,да,2,449,0.23,Косметика и аксесуары,3,4353,-521,4,5,9,10
Снизилась,премиум,нет,5,764,0.32,Мелкая бытовая техника и электроника,2,4387,-603,6,4,10,8
Снизилась,стандарт,да,4,851,0.32,Косметика и аксесуары,3,4925,-565,4,6,15,14
Снизилась,премиум,да,4,768,0.94,Кухонная посуда,2,4119,-442,7,6,8,14
Снизилась,стандарт,да,4,720,0.3,Домашний текстиль,2,4729,-757,4,2,11,10
Снизилась,стандарт,да,6,219,0.39,Товары для детей,2,4766,-779,2,1,9,12
Снизилась,премиум,да,6,377,0.36,Мелкая бытовая техника и электроника,3,5002,-546,5,3,4,6
Снизилась,стандарт,нет,3,472,0.99,Домашний текстиль,2,4470,-484,3,3,12,8
Снизилась,премиум,да,2,806,0.25,Домашний текстиль,3,4692,-199,3,8,10,11
Снизилась,стандарт,да,4,449,0.28,Домашний текстиль,1,4579,167,2,2,9,11
Снизилась,премиум,нет,2,523,0.3,Техника для красоты и здоровья,1,4748,-1031,1,4,14,11
Снизилась,стандарт,да,4,503,0.9,Мелкая бытовая техника и электроника,2,4367,-324,3,3,13,7
Снизилась,стандарт,да,3,515,0.94,Косметика и аксесуары,1,4698,-908,2,2,11,9
Снизилась,премиум,да,4,813,0.22,Домашний текстиль,3,4889,-343,4,5,8,12
Снизилась,стандарт,да,4,249,0.93,Кухонная посуда,2,4764,-262,4,2,11,13
Снизилась,премиум,да,4,829,0.3,Косметика и аксесуары,3,4258,-698,6,6,9,7
Снизилась,стандарт,нет,2,186,0.93,Косметика и аксесуары,3,4596,-883,3,4,8,11
Снизилась,стандарт,нет,4,336,0.22,Домашний текстиль,2,4224,-15,2,3,13,8
Снизилась,премиум,нет,4,690,0.24,Домашний текстиль,2,4578,-595,8,5,13,11
Снизилась,стандарт,да,5,824,0.33,Кухонная посуда,2,4834,-586,2,3,11,11
Снизилась,премиум,да,3,666,0.39,Кухонная посуда,3,4243,-540,2,2,11,6
Снизилась,стандарт,нет,2,377,0.23,Товары для детей,3,4356,-770,5,6,14,12
Снизилась,стандарт,да,4,753,0.24,Товары для детей,2,4682,-1148,2,2,14,10
Снизилась,стандарт,да,3,674,0.28,Домашний текстиль,3,4641,-756,2,3,8,10
Снизилась,премиум,да,4,875,0.94,Мелкая бытовая техника и электроника,2,4704,-565,8,5,12,6
Снизилась,стандарт,да,4,844,0.93,Товары для детей,1,4374,-436,4,2,11,10
Снизилась,премиум,да,3,602,0.25,Косметика и аксесуары,2,4921,-1024,5,2,10,12
Снизилась,стандарт,да,4,855,0.99,Кухонная посуда,4,4834,-1010,7,6,8,8
Снизилась,премиум,нет,3,448,0.23,Мелкая бытовая техника и электроника,1,4267,-528,6,3,7,5
Снизилась,стандарт,да,4,720,0.99,Косметика и аксесуары,3,4234,22,4,7,14,10
Снизилась,премиум,да,4,1021,0.35,Косметика и аксесуары,3,4469,-6,3,5,13,9
Снизилась,стандарт,да,5,627,0.98,Косметика и аксесуары,2,4923,261,6,5,8,10
Снизилась,стандарт,да,4,748,0.93,Кухонная посуда,2,4652,-640,2,4,8,10
Снизилась,стандарт,нет,4,344,0.98,Мелкая бытовая техника и электроника,1,4817,-911,4,4,8,9
Снизилась,стандарт,да,4,922,0.35,Товары для детей,2,4559,195,1,5,11,13
Снизилась,стандарт,да,2,298,0.39,Домашний текстиль,1,4705,86,6,4,11,11
Снизилась,премиум,да,4,893,0.29,Кухонная посуда,2,4389,-508,3,6,9,6
Снизилась,стандарт,да,4,881,0.99,Кухонная посуда,3,4870,-1231,6,5,10,9
Снизилась,стандарт,нет,6,372,0.23,Косметика и аксесуары,1,4502,-504,2,3,13,9
Снизилась,стандарт,да,1,788,0.98,Техника для красоты и здоровья,3,4611,-420,3,3,11,14
Снизилась,премиум,да,4,684,0.4,Техника для красоты и здоровья,1,4896,83,2,4,11,11
Снизилась,премиум,да,6,719,0.28,Мелкая бытовая техника и электроника,1,4475,-931,7,1,5,9
Снизилась,стандарт,нет,3,891,0.35,Мелкая бытовая техника и электроника,2,4624,-973,4,5,9,9
Снизилась,стандарт,да,3,842,0.89,Техника для красоты и здоровья,2,4610,-723,8,3,10,14
Снизилась,стандарт,да,4,573,0.4,Косметика и аксесуары,2,4278,94,1,4,12,11
Снизилась,премиум,да,4,1057,0.35,Домашний текстиль,4,4993,-1074,5,6,9,9
Снизилась,стандарт,да,3,342,0.98,Кухонная посуда,2,4809,-882,5,3,10,13
Снизилась,стандарт,да,2,638,0.24,Домашний текстиль,1,4119,-618,2,1,8,7
Снизилась,стандарт,да,3,458,0.9,Товары для детей,2,4543,-741,2,2,10,11
Снизилась,стандарт,да,4,254,0.31,Товары для детей,2,4698,-498,5,3,7,7
Снизилась,стандарт,нет,3,600,0.31,Домашний текстиль,1,4238,-543,5,4,8,11
Снизилась,стандарт,да,4,871,0.32,Техника для красоты и здоровья,2,4969,-337,6,7,9,16
Снизилась,стандарт,да,4,574,0.22,Домашний текстиль,3,4102,-380,2,2,5,8
Снизилась,премиум,да,4,982,0.94,Мелкая бытовая техника и электроника,3,4880,-257,2,6,6,8
Снизилась,стандарт,да,4,324,0.22,Техника для красоты и здоровья,2,4814,-380,2,2,14,9
Снизилась,стандарт,да,4,373,0.33,Домашний текстиль,1,4428,-359,4,6,11,10
Снизилась,стандарт,да,1,839,0.4,Косметика и аксесуары,3,4513,-752,7,7,8,12
Снизилась,премиум,нет,3,845,0.22,Домашний текстиль,2,4466,-912,7,5,8,10
Снизилась,премиум,да,2,475,0.21,Косметика и аксесуары,2,4839,-770,8,3,9,6
Снизилась,стандарт,нет,4,509,0.94,Косметика и аксесуары,2,4442,31,4,6,13,7
Снизилась,стандарт,нет,4,252,0.98,Косметика и аксесуары,3,4328,-587,2,1,11,9
Снизилась,премиум,нет,4,820,0.32,Косметика и аксесуары,4,4718,-879,2,5,8,11
Снизилась,премиум,да,3,744,0.28,Мелкая бытовая техника и электроника,3,4156,-554,2,6,6,6
Снизилась,премиум,да,3,824,0.94,Товары для детей,2,4802,-748,4,4,8,8
Снизилась,стандарт,нет,4,511,0.3,Кухонная посуда,2,4102,-333,4,6,14,11
Снизилась,премиум,нет,2,541,0.9,Товары для детей,2,4265,-147,4,5,13,11
Снизилась,премиум,да,3,1079,0.3,Товары для детей,4,5039,-945,5,9,11,11
Снизилась,премиум,да,4,900,0.4,Кухонная посуда,2,4827,-609,9,6,13,14
Снизилась,стандарт,да,3,474,0.23,Техника для красоты и здоровья,1,4508,-448,4,2,11,12
Снизилась,стандарт,да,3,558,0.32,Мелкая бытовая техника и электроника,1,4639,-87,4,1,10,9
Снизилась,стандарт,да,3,572,0.29,Домашний текстиль,1,4508,-915,8,5,12,13
Снизилась,премиум,да,4,957,0.94,Товары для детей,3,4472,-829,5,4,8,8
Снизилась,стандарт,да,4,773,0.98,Мелкая бытовая техника и электроника,3,4502,-512,8,6,8,8
Снизилась,стандарт,нет,4,717,0.35,Товары для детей,2,4449,-892,7,3,9,10
Снизилась,стандарт,да,4,508,0.4,Домашний текстиль,1,4374,-446,3,3,10,9
Снизилась,стандарт,да,4,184,0.34,Кухонная посуда,1,4579,-626,4,2,13,13
Снизилась,стандарт,да,4,828,0.35,Мелкая бытовая техника и электроника,3,4212,227,4,7,9,7
Снизилась,стандарт,да,4,944,0.35,Домашний текстиль,2,4813,230,5,7,6,10
Снизилась,премиум,нет,4,419,0.93,Товары для детей,1,4669,-678,3,3,10,13
Снизилась,стандарт,нет,3,302,0.31,Мелкая бытовая техника и электроника,2,4586,104,1,7,9,7
Снизилась,стандарт,нет,4,898,0.4,Кухонная посуда,3,4952,-951,2,5,12,15
Снизилась,премиум,да,4,705,0.99,Косметика и аксесуары,3,4974,-765,7,4,9,7
Снизилась,премиум,да,2,788,0.89,Мелкая бытовая техника и электроника,1,4641,-915,4,4,4,8
Снизилась,стандарт,да,2,953,0.4,Мелкая бытовая техника и электроника,4,4220,-656,3,4,9,5
Снизилась,премиум,да,1,355,0.33,Мелкая бытовая техника и электроника,1,4826,-301,5,5,10,9
Снизилась,стандарт,нет,4,616,0.27,Товары для детей,1,4605,-725,4,2,9,10
Снизилась,стандарт,нет,3,622,0.28,Косметика и аксесуары,3,4418,-617,4,4,9,11
Снизилась,премиум,нет,2,335,0.21,Мелкая бытовая техника и электроника,2,4684,-9,5,3,4,5
Снизилась,стандарт,да,2,1025,0.4,Кухонная посуда,3,4314,-279,5,6,12,9
Снизилась,стандарт,да,5,755,0.94,Кухонная посуда,3,4567,-173,5,5,9,9
Снизилась,стандарт,да,4,549,0.31,Товары для детей,4,4157,-332,2,4,10,11
Снизилась,премиум,нет,3,308,0.89,Домашний текстиль,2,4655,-413,6,5,10,14
Снизилась,стандарт,да,4,903,0.35,Кухонная посуда,3,4228,-731,3,4,12,11
Снизилась,премиум,да,3,683,0.28,Товары для детей,1,4736,-637,3,6,12,11
Снизилась,премиум,да,3,434,0.24,Косметика и аксесуары,1,4940,-690,3,2,9,12
Снизилась,премиум,да,3,983,0.21,Косметика и аксесуары,4,4598,98,2,7,6,7
Снизилась,стандарт,да,1,624,0.89,Косметика и аксесуары,1,4726,-635,5,1,11,12
Снизилась,стандарт,да,1,360,0.33,Домашний текстиль,2,4309,114,3,5,10,6
Снизилась,стандарт,да,3,1017,0.35,Кухонная посуда,3,4733,221,2,7,12,9
Снизилась,стандарт,нет,4,348,0.89,Мелкая бытовая техника и электроника,2,4271,-237,4,2,10,8
Снизилась,стандарт,нет,3,742,0.39,Мелкая бытовая техника и электроника,2,4640,-834,3,5,8,7
Снизилась,премиум,да,4,770,0.28,Домашний текстиль,3,4633,-18,2,6,12,10
Снизилась,стандарт,да,5,867,0.25,Кухонная посуда,2,4968,-1127,3,5,14,12
Снизилась,стандарт,да,4,701,0.3,Косметика и аксесуары,4,5045,-528,4,4,9,11
Снизилась,стандарт,да,4,589,0.35,Товары для детей,2,4931,-1196,4,3,12,14
Снизилась,стандарт,нет,2,527,0.28,Косметика и аксесуары,2,4420,-987,4,3,12,7
Снизилась,премиум,да,2,692,0.35,Домашний текстиль,1,4330,-70,1,2,10,8
Снизилась,премиум,да,4,956,0.35,Косметика и аксесуары,2,4985,-701,6,7,9,10
Снизилась,стандарт,нет,4,618,0.24,Техника для красоты и здоровья,2,4213,-882,3,5,12,12
Снизилась,стандарт,нет,2,522,0.99,Кухонная посуда,2,4492,-110,4,4,12,11
Снизилась,премиум,да,2,785,0.24,Товары для детей,3,4702,-550,3,6,14,8
Снизилась,стандарт,да,3,853,0.24,Домашний текстиль,2,4755,-336,5,4,8,11
Снизилась,премиум,да,4,1073,0.4,Товары для детей,4,4740,-1221,3,3,10,10
Снизилась,премиум,да,6,953,0.93,Косметика и аксесуары,2,4856,-328,3,6,12,11
Снизилась,премиум,да,3,808,0.28,Косметика и аксесуары,3,4729,-568,3,6,10,10
Снизилась,стандарт,да,5,483,0.39,Косметика и аксесуары,2,4709,-777,1,2,8,12
Снизилась,стандарт,да,4,676,0.32,Техника для красоты и здоровья,3,4822,-629,3,3,15,16
Снизилась,стандарт,да,4,706,0.99,Кухонная посуда,2,4671,-498,2,6,12,12
Снизилась,премиум,да,3,951,0.22,Домашний текстиль,2,5053,-614,2,6,9,14
Снизилась,стандарт,да,3,435,0.23,Кухонная посуда,3,4530,265,7,2,6,7
Снизилась,премиум,да,4,840,0.4,Косметика и аксесуары,3,4500,-843,5,5,9,8
Снизилась,стандарт,да,4,564,0.93,Техника для красоты и здоровья,3,4774,112,2,5,13,12
Снизилась,стандарт,да,2,699,0.35,Мелкая бытовая техника и электроника,2,4778,-367,5,3,7,10
Снизилась,стандарт,нет,4,710,0.36,Мелкая бытовая техника и электроника,3,4393,-749,2,1,11,6
Снизилась,премиум,да,4,966,0.28,Мелкая бытовая техника и электроника,3,4657,-435,2,4,9,8
Снизилась,стандарт,да,4,171,0.25,Товары для детей,3,4798,65,3,5,12,8
Снизилась,стандарт,да,4,763,0.35,Товары для детей,3,4688,-339,2,3,13,12
Снизилась,стандарт,нет,4,623,0.24,Домашний текстиль,1,4769,-523,5,4,10,13
Снизилась,стандарт,нет,3,731,0.34,Косметика и аксесуары,3,4470,-764,6,2,11,6
Снизилась,премиум,да,4,1044,0.3,Кухонная посуда,3,4335,-945,6,5,9,12
Снизилась,премиум,да,4,557,0.94,Техника для красоты и здоровья,1,4349,-134,3,3,14,11
Снизилась,премиум,да,5,800,0.93,Домашний текстиль,4,4912,-426,5,4,7,7
Снизилась,стандарт,да,4,529,0.36,Домашний текстиль,2,4293,-322,2,1,11,8
Снизилась,стандарт,да,5,574,0.27,Косметика и аксесуары,2,4871,-334,8,5,4,8
Снизилась,стандарт,нет,2,427,0.29,Товары для детей,1,4604,-189,3,4,14,12
Снизилась,стандарт,нет,6,631,0.4,Мелкая бытовая техника и электроника,2,4728,-298,2,2,7,7
Снизилась,премиум,да,5,486,0.22,Мелкая бытовая техника и электроника,1,4643,-235,3,2,9,8
Снизилась,премиум,нет,5,947,0.33,Товары для детей,4,4414,-849,3,5,9,8
Снизилась,стандарт,да,4,627,0.9,Товары для детей,2,4971,-576,5,8,10,13
Снизилась,стандарт,да,4,332,0.3,Домашний текстиль,2,4751,-1099,5,1,9,12
Снизилась,стандарт,да,2,684,0.9,Косметика и аксесуары,3,4824,-62,2,4,8,14
Снизилась,стандарт,нет,4,868,0.4,Домашний текстиль,2,4568,-900,8,5,10,13
Снизилась,премиум,да,3,449,0.89,Мелкая бытовая техника и электроника,1,4740,-107,3,6,11,10
Снизилась,стандарт,да,3,716,0.28,Домашний текстиль,2,4546,-1008,4,6,8,12
Снизилась,стандарт,да,2,446,0.29,Кухонная посуда,1,4646,-992,3,4,14,13
Снизилась,премиум,да,1,468,0.23,Техника для красоты и здоровья,1,4693,-444,4,4,14,10
Снизилась,премиум,да,4,1072,0.35,Техника для красоты и здоровья,3,4426,-597,5,5,9,14
Снизилась,стандарт,да,1,556,0.33,Косметика и аксесуары,2,5025,-601,3,2,9,14
Снизилась,стандарт,нет,3,458,0.99,Косметика и аксесуары,1,4308,-94,3,4,10,8
Снизилась,премиум,да,4,637,0.24,Кухонная посуда,3,4510,-69,2,6,14,10
Снизилась,стандарт,нет,4,428,0.3,Кухонная посуда,2,4583,-360,2,3,7,10
Снизилась,премиум,да,3,862,0.94,Косметика и аксесуары,1,4313,-56,2,8,11,9
Снизилась,премиум,нет,4,816,0.35,Косметика и аксесуары,3,4550,-223,3,5,6,10
Снизилась,премиум,да,4,636,0.94,Косметика и аксесуары,3,4443,-193,6,3,8,8
Снизилась,стандарт,да,5,684,0.25,Товары для детей,3,4795,-343,4,6,8,13
Снизилась,стандарт,да,4,519,0.4,Товары для детей,1,4673,-291,3,5,13,14
Снизилась,премиум,нет,4,255,0.94,Домашний текстиль,3,4410,-959,7,7,12,8
Снизилась,стандарт,да,4,627,0.93,Техника для красоты и здоровья,3,4457,-596,3,4,12,11
Снизилась,стандарт,да,4,952,0.22,Кухонная посуда,4,4767,-694,1,5,11,14
Снизилась,стандарт,да,2,205,0.28,Кухонная посуда,1,4846,-246,4,2,8,13
Снизилась,стандарт,нет,4,862,0.25,Мелкая бытовая техника и электроника,2,4308,-864,6,5,8,10
Снизилась,стандарт,да,1,728,0.9,Домашний текстиль,2,4377,-281,2,4,14,10
Снизилась,стандарт,нет,4,657,0.35,Мелкая бытовая техника и электроника,2,4441,-781,2,4,7,10
Снизилась,премиум,да,5,789,0.28,Косметика и аксесуары,2,4624,-177,3,3,12,10
Снизилась,премиум,да,2,704,0.32,Косметика и аксесуары,1,4423,-273,3,4,12,9
Снизилась,премиум,да,4,1076,0.22,Кухонная посуда,4,4578,-298,3,7,11,7
Снизилась,стандарт,нет,3,639,0.28,Косметика и аксесуары,2,4588,-272,4,4,10,9
Снизилась,стандарт,да,3,519,0.9,Товары для детей,2,4399,-199,4,3,12,9
Снизилась,премиум,нет,2,399,0.35,Косметика и аксесуары,2,4646,-242,3,3,15,7
Снизилась,стандарт,да,4,464,0.94,Косметика и аксесуары,2,4777,-381,1,3,6,11
Снизилась,стандарт,да,3,171,0.95,Мелкая бытовая техника и электроника,1,4415,58,2,2,10,5
Снизилась,стандарт,да,4,451,0.89,Домашний текстиль,2,4527,-330,3,2,6,8
Снизилась,стандарт,да,4,618,0.93,Товары для детей,3,4566,-522,2,2,10,9
Снизилась,стандарт,да,4,627,0.4,Домашний текстиль,3,4845,-861,3,6,13,11
Снизилась,стандарт,нет,4,388,0.21,Косметика и аксесуары,2,4583,-651,2,2,14,15
Снизилась,стандарт,нет,5,345,0.28,Мелкая бытовая техника и электроника,2,4566,-303,1,1,7,6
Снизилась,премиум,да,4,933,0.24,Домашний текстиль,4,4729,-912,4,5,11,10
Снизилась,премиум,да,4,693,0.3,Мелкая бытовая техника и электроника,2,4446,-1270,3,2,13,10
